,count,mean,std,min,25%,50%,75%,max,variance,missing_values,outliers_count
pixel_21,1797.0,7.806343906510851,6.197321772259614,0.0,0.0,8.0,14.0,16.0,38.40679714892304,0,0
pixel_22,1797.0,1.788536449638286,3.259869701959605,0.0,0.0,0.0,3.0,16.0,10.626750473754203,0,0
pixel_23,1797.0,0.05008347245409015,0.43859748599498405,0.0,0.0,0.0,0.0,8.0,0.19236775472112025,0,0
pixel_24,1797.0,0.0011129660545353367,0.03335185696431645,0.0,0.0,0.0,0.0,1.0,0.0011123463629682238,0,0
pixel_25,1797.0,2.4696716750139123,3.1465324629263858,0.0,0.0,1.0,4.0,15.0,9.900666540249587,0,0
pixel_26,1797.0,9.091263216471898,6.19203781578259,0.0,3.0,11.0,15.0,16.0,38.341332312081626,0,0
pixel_27,1797.0,8.821368948247079,5.8829364927303525,0.0,3.0,10.0,15.0,16.0,34.6089417774985,0,0
pixel_28,1797.0,9.927100723427936,6.152092831784637,0.0,4.0,12.0,16.0,16.0,37.848246210895915,0,0
pixel_29,1797.0,7.55147468002226,5.872555577910245,0.0,1.0,7.0,13.0,16.0,34.486909015644734,0,0
pixel_30,1797.0,2.3177518085698385,3.686455957466465,0.0,0.0,0.0,4.0,15.0,13.589957526339989,0,0
pixel_31,1797.0,0.0022259321090706734,0.04714036444139983,0.0,0.0,0.0,0.0,1.0,0.0022222139596679937,0,0
pixel_32,1797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
pixel_33,1797.0,2.3394546466332775,3.480372316561777,0.0,0.0,0.0,4.0,14.0,12.112991461889589,0,0
pixel_34,1797.0,7.6672231496939345,6.324687349487986,0.0,0.0,8.0,14.0,16.0,40.001670068773365,0,0
pixel_35,1797.0,9.07178631051753,6.268391184618127,0.0,3.0,10.0,16.0,16.0,39.29272804339825,0,0
pixel_36,1797.0,10.301613800779077,5.933490191906331,0.0,6.0,13.0,16.0,16.0,35.206305857448626,0,0
pixel_37,1797.0,8.744017807456872,5.8706476173710325,0.0,3.0,10.0,14.0,16.0,34.464503447344185,0,0
pixel_38,1797.0,2.90929326655537,3.5372827203489945,0.0,0.0,1.0,6.0,14.0,12.512369043679582,0,0
pixel_39,1797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
pixel_40,1797.0,0.008903728436282694,0.14518542852282407,0.0,0.0,0.0,0.0,4.0,0.021078808655356055,0,0
pixel_41,1797.0,1.5837506956037841,2.981816228071556,0.0,0.0,0.0,2.0,16.0,8.891228017990883,0,0
pixel_42,1797.0,6.881469115191987,6.537954671960845,0.0,0.0,6.0,14.0,16.0,42.74485129261464,0,0
pixel_43,1797.0,7.228158041179744,6.441377552036687,0.0,0.0,7.0,14.0,16.0,41.49134476788214,0,0
pixel_44,1797.0,7.672231496939343,6.259511441960655,0.0,1.0,8.0,14.0,16.0,39.18148349203635,0,0
pixel_45,1797.0,8.23650528658876,5.695526575259536,0.0,3.0,9.0,13.0,16.0,32.439022969487624,0,0
pixel_46,1797.0,3.456316082359488,4.330951227733621,0.0,0.0,1.0,7.0,16.0,18.757138537007357,0,0
pixel_47,1797.0,0.027267668336115748,0.30735588747482956,0.0,0.0,0.0,0.0,6.0,0.09446764156544007,0,0
pixel_48,1797.0,0.007234279354479688,0.20422316602535767,0.0,0.0,0.0,0.0,8.0,0.04170710154142081,0,0
pixel_49,1797.0,0.7045075125208681,1.7461528647057638,0.0,0.0,0.0,0.0,16.0,3.0490498269201454,0,0
pixel_50,1797.0,7.506956037840846,5.644496060205793,0.0,2.0,8.0,13.0,16.0,31.860335773678727,0,0
pixel_51,1797.0,9.53923205342237,5.226947700207952,0.0,5.0,10.0,14.0,16.0,27.320982260709197,0,0
pixel_52,1797.0,9.416249304396215,5.302048471649346,0.0,5.0,10.0,15.0,16.0,28.11171799571917,0,0
pixel_53,1797.0,8.758486366165831,6.031154412119314,0.0,2.0,10.0,15.0,16.0,36.37482354282626,0,0
pixel_54,1797.0,3.725097384529772,4.919406035223906,0.0,0.0,1.0,7.0,16.0,24.200555739397387,0,0
pixel_55,1797.0,0.20645520311630494,0.9844009177360414,0.0,0.0,0.0,0.0,13.0,0.9690451668395607,0,0
pixel_56,1797.0,0.0005564830272676684,0.023589892481053584,0.0,0.0,0.0,0.0,1.0,0.0005564830272676684,0,0
pixel_57,1797.0,0.2793544796883695,0.9343017983136351,0.0,0.0,0.0,0.0,9.0,0.8729198503320925,0,0
pixel_58,1797.0,5.557595993322204,5.10301936991174,0.0,1.0,4.0,10.0,16.0,26.04080668969441,0,0
pixel_59,1797.0,12.089037284362828,4.374694009948624,0.0,11.0,13.0,16.0,16.0,19.137947680680373,0,0
pixel_60,1797.0,11.80912632164719,4.933947353357587,0.0,10.0,14.0,16.0,16.0,24.343836485704337,0,0
pixel_61,1797.0,6.764051196438508,5.900622711999103,0.0,0.0,6.0,12.0,16.0,34.817348389359644,0,0
pixel_62,1797.0,2.0678909293266554,4.090547887420139,0.0,0.0,0.0,2.0,16.0,16.732582019277366,0,0
pixel_63,1797.0,0.36449638286032277,1.8601217224980682,0.0,0.0,0.0,0.0,16.0,3.4600528225091804,0,0
